0.01 	 0.0001 	 0.1 	 0.0001 	 0.2943 	 0.3279 	 0.1479 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.1536 	 0.1503 	 0.0393 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.2454 	 0.2875 	 0.1238 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.2454 	 0.2875 	 0.1238 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.2454 	 0.2875 	 0.1238 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.2371 	 0.2459 	 0.1030 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.2645 	 0.2979 	 0.1299 
0.1 	 0.1 	 0.1 	 0.0001 	 0.2420 	 0.2675 	 0.0964 
0.1 	 0.1 	 0.1 	 0.0001 	 0.2643 	 0.3139 	 0.1058 
0.1 	 0.1 	 0.1 	 0.0001 	 0.2707 	 0.3221 	 0.1075 
0.1 	 0.1 	 0.1 	 0.0001 	 0.2333 	 0.2648 	 0.0793 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4481 	 0.4523 	 0.2773 
0.1 	 0.1 	 0.1 	 0.01 	 0.1789 	 0.2171 	 0.0225 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4392 	 0.4523 	 0.2755 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4384 	 0.4519 	 0.2748 
0.01 	 0.0001 	 0.1 	 0.0001 	 0.2454 	 0.2875 	 0.1238 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4415 	 0.4522 	 0.2750 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4408 	 0.4516 	 0.2748 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4332 	 0.4476 	 0.2712 
0.01 	 0.0001 	 0.1 	 0.001 	 0.4301 	 0.4481 	 0.2707 
